mes,temperatura_c,umidade_relativa,velocidade_vento_kmh,precipitacao_mm,dias_sem_chuva,ndvi,indice_fwi,latitude,longitude,altitude_m,tipo_cobertura,ocorrencia_foco
12,26.8,50.7,3.3,15.7,1,0.416,7.1,-18.4489,-72.1257,454.0,pastagem,0
5,30.6,49.6,13.5,0.4,16,0.575,22.5,-4.0858,-49.3359,69.0,cerrado,1
4,34.8,45.4,8.0,9.4,2,0.457,14.3,-9.7239,-63.2364,69.0,agricultura,0
11,28.9,63.6,18.5,0.6,5,0.55,16.7,-24.4878,-69.6747,1657.0,cerrado,0
5,36.2,39.9,21.8,1.3,10,0.591,25.0,-27.1515,-44.7386,415.0,pastagem,1
1,28.5,71.5,25.0,13.9,3,0.404,14.3,-28.3274,-39.3747,332.0,pastagem,0
6,30.7,36.4,37.1,0.9,13,0.756,29.0,-14.1734,-56.028,486.0,floresta,1
10,28.0,69.5,24.4,8.6,3,0.458,15.1,-25.2635,-61.8966,589.0,cerrado,0
3,33.7,57.9,18.1,2.9,2,0.753,17.2,-23.1343,-68.5598,158.0,floresta,0
6,35.2,43.2,3.7,1.1,7,0.81,17.5,-1.1656,-46.8915,702.0,floresta,0
2,21.2,42.0,0.9,10.5,2,0.508,6.0,-14.4321,-73.4442,280.0,cerrado,0
9,32.1,8.0,19.8,2.6,19,0.689,29.1,-20.3572,-46.7276,1580.0,floresta,1
6,40.1,42.5,4.9,5.1,13,0.809,22.3,-25.9538,-35.7535,456.0,floresta,0
4,27.1,65.2,54.0,12.0,9,0.817,26.2,-16.3915,-58.4136,36.0,floresta,1
3,20.8,65.7,2.5,3.8,3,0.499,6.5,-22.9872,-44.9041,263.0,pastagem,0
7,40.6,31.7,17.6,0.2,6,0.401,24.5,-31.516,-71.7444,454.0,agricultura,0
9,35.7,55.9,11.4,2.6,4,0.66,17.3,-0.0392,-60.3536,112.0,cerrado,0
12,27.7,54.5,2.8,2.5,0,0.411,9.2,-11.3918,-55.7247,534.0,pastagem,1
6,31.5,43.1,11.4,0.4,13,0.369,21.3,-1.4324,-48.1995,596.0,pastagem,1
2,32.3,67.1,5.5,4.5,5,0.532,13.3,-4.8494,-62.0044,344.0,pastagem,0
10,25.8,80.6,9.3,3.6,3,0.307,9.8,-32.4422,-48.095,33.0,urbano,0
8,37.6,34.2,9.4,2.1,10,0.425,22.2,-8.17,-45.0607,1258.0,pastagem,1
9,35.2,30.2,5.5,2.0,8,0.383,19.2,-27.6685,-67.7962,89.0,pastagem,1
2,29.0,42.0,7.5,6.7,3,0.535,12.8,-30.2299,-40.2837,280.0,agricultura,1
4,28.6,78.6,5.1,14.0,1,0.343,6.8,-31.8896,-46.5861,668.0,pastagem,0
10,27.3,65.1,1.8,10.0,3,0.754,8.0,-0.9045,-34.3954,565.0,cerrado,0
10,32.2,65.4,10.7,0.2,4,0.417,15.3,-11.3156,-42.9224,202.0,agricultura,0
6,29.5,75.4,24.3,0.5,10,0.578,20.5,-3.6363,-43.5477,199.0,cerrado,0
10,21.5,63.9,5.3,16.3,3,0.437,5.3,-8.7421,-73.2497,421.0,pastagem,0
11,30.5,44.4,32.6,1.3,4,0.426,22.4,-27.7309,-57.1045,151.0,agricultura,1
5,35.5,35.6,37.0,5.1,13,0.375,30.3,-9.8965,-61.6716,416.0,pastagem,1
11,29.9,48.3,7.0,28.0,4,0.87,8.8,-28.7479,-43.0561,710.0,floresta,1
4,29.6,55.2,8.4,28.6,1,0.479,7.0,-31.0037,-47.6751,258.0,pastagem,0
3,26.7,55.2,7.1,3.5,4,0.444,11.8,-20.0667,-53.5662,355.0,agricultura,0
9,36.1,31.0,3.8,3.6,20,0.505,24.8,-29.2051,-59.4813,518.0,cerrado,1
8,32.8,21.3,8.4,0.3,21,0.135,26.5,-6.188,-69.9967,942.0,urbano,1
2,26.1,79.1,7.7,2.0,2,0.85,9.3,-9.9932,-61.4804,548.0,floresta,1
10,26.8,63.6,10.6,2.5,2,0.524,11.5,-7.057,-49.8724,241.0,pastagem,0
3,36.1,57.3,11.0,12.9,3,0.592,14.7,1.4847,-62.233,788.0,cerrado,0
10,21.1,69.1,3.5,6.5,8,0.47,8.7,-19.1965,-69.3628,680.0,pastagem,0
1,30.0,65.7,15.2,1.3,4,0.25,15.4,-11.7723,-73.3754,771.0,urbano,0
10,21.3,63.3,8.3,15.9,3,0.318,6.2,-18.7854,-37.6745,303.0,pastagem,0
10,27.6,68.2,4.2,22.6,4,0.572,6.6,-27.6686,-65.0715,875.0,cerrado,0
10,26.3,61.6,8.2,9.3,3,0.585,9.9,-1.0257,-36.6991,262.0,agricultura,0
8,24.7,46.0,11.3,1.5,11,0.568,16.7,-11.2483,-73.0993,198.0,cerrado,0
6,34.6,47.0,27.4,0.4,16,0.454,28.6,-9.3144,-56.933,886.0,pastagem,1
9,31.5,40.0,24.5,1.1,15,0.499,26.2,-23.1909,-54.2179,403.0,cerrado,1
4,19.6,57.4,6.5,1.3,2,0.404,7.8,-1.5334,-58.2204,411.0,pastagem,0
10,31.4,78.4,8.8,2.8,5,0.408,13.4,-13.641,-70.0807,153.0,pastagem,0
7,38.7,32.3,5.0,0.6,19,0.468,26.3,-30.3619,-38.957,172.0,pastagem,1
6,39.0,42.7,12.7,1.4,13,0.741,24.8,-20.8177,-37.2492,205.0,floresta,1
7,34.4,43.0,6.8,1.6,10,0.634,19.5,-15.7365,-43.8303,284.0,floresta,1
7,33.2,30.7,8.5,0.2,15,0.844,23.1,-20.3073,-69.6798,291.0,floresta,0
1,33.3,50.3,20.2,12.6,2,0.542,16.3,-28.6452,-63.9276,69.0,agricultura,0
2,34.7,55.8,3.5,15.0,4,0.228,12.0,-20.6697,-62.231,670.0,urbano,0
3,32.5,54.1,24.5,7.0,7,0.375,20.6,-32.8891,-36.2392,1244.0,pastagem,1
2,24.2,42.5,13.6,12.7,6,0.461,12.7,-24.9565,-42.0129,153.0,agricultura,0
6,33.8,30.2,23.8,1.5,10,0.822,25.2,-8.7245,-56.5583,379.0,floresta,1
9,34.8,41.2,16.9,4.1,14,0.502,24.3,-12.4826,-53.8328,749.0,agricultura,1
8,25.8,53.2,19.0,3.2,14,0.494,20.2,-18.7364,-42.091,847.0,cerrado,1
6,34.9,44.7,10.2,0.0,9,0.884,20.4,3.4743,-71.5116,274.0,floresta,0
11,37.1,28.8,4.1,11.4,6,0.482,16.9,-31.2563,-58.303,777.0,cerrado,1
7,35.6,45.7,6.1,0.8,15,0.211,22.2,-8.6748,-71.934,125.0,pastagem,1
1,33.9,53.3,5.2,5.3,2,0.457,13.3,-9.3895,-37.4883,22.0,pastagem,0
10,28.7,65.4,1.4,0.4,2,0.79,9.9,-13.2101,-56.336,283.0,floresta,0
7,32.7,37.8,20.2,1.8,12,0.555,24.0,-22.979,-66.8204,1314.0,cerrado,1
8,34.5,35.7,9.3,0.2,8,0.482,20.1,-13.8435,-34.8316,395.0,pastagem,1
7,29.7,36.8,4.9,1.6,12,0.455,18.2,-15.1297,-38.8903,1645.0,agricultura,0
7,29.1,37.7,36.1,0.8,17,0.632,29.9,-27.4558,-53.6727,135.0,cerrado,1
2,33.1,76.1,46.5,3.3,2,0.441,24.1,-24.0088,-37.019,241.0,cerrado,1
7,38.5,37.8,3.1,4.7,10,0.448,19.9,-16.3807,-66.6964,656.0,pastagem,1
10,24.0,73.0,8.4,9.5,3,0.4,8.1,-18.8623,-43.4154,885.0,pastagem,0
4,31.9,71.3,8.0,8.7,2,0.531,11.3,-28.0593,-43.0692,559.0,pastagem,0
8,32.7,46.0,4.5,0.6,9,0.386,17.5,-23.9417,-50.3027,269.0,pastagem,1
1,29.4,38.6,19.9,0.9,1,0.456,17.1,-10.5118,-58.1348,1608.0,pastagem,1
5,34.8,51.4,1.4,1.2,18,0.557,21.5,-6.2534,-62.7619,360.0,cerrado,1
6,37.0,32.5,30.1,0.4,13,0.516,30.1,-4.442,-48.2593,264.0,agricultura,1
12,28.3,68.6,10.5,20.0,1,0.442,7.8,-12.4951,-61.0882,516.0,agricultura,0
3,33.6,48.3,34.1,6.3,2,0.479,22.0,-30.909,-68.7947,698.0,pastagem,1
4,29.2,45.8,9.9,3.7,4,0.552,14.4,-24.2192,-39.8917,244.0,cerrado,1
5,35.5,61.7,8.0,0.9,17,0.227,22.6,-5.3315,-42.0279,156.0,urbano,0
12,24.7,48.5,21.0,1.4,4,0.906,16.0,-22.0386,-62.0936,763.0,floresta,0
11,36.6,73.8,34.0,5.2,2,0.209,21.7,-7.5336,-73.6826,18.0,urbano,1
1,29.9,61.4,30.4,2.4,2,0.37,19.0,-8.3926,-64.4773,163.0,pastagem,1
3,30.9,55.0,2.1,8.2,7,0.607,12.8,-13.3957,-51.347,162.0,pastagem,0
10,21.6,59.5,25.3,9.6,3,0.628,13.0,-21.2804,-46.4975,241.0,cerrado,0
1,24.7,44.4,7.6,9.0,2,0.602,9.8,-29.9661,-57.8435,734.0,cerrado,1
11,33.0,59.8,9.1,10.0,1,0.535,12.1,-5.2825,-39.7017,809.0,cerrado,0
4,29.1,47.0,7.5,15.6,6,0.839,12.2,-23.6037,-63.5307,382.0,floresta,1
12,20.3,55.3,6.1,11.1,3,0.385,6.7,-22.2434,-36.2597,979.0,cerrado,0
4,32.2,71.1,8.5,4.2,2,0.674,12.4,-28.3456,-48.1058,1203.0,cerrado,0
6,30.8,41.1,4.4,0.1,11,0.522,18.0,-5.3443,-44.0267,330.0,pastagem,0
8,38.6,20.2,25.4,0.2,8,0.486,27.8,3.4677,-52.4048,605.0,agricultura,1
2,27.6,70.2,16.7,10.3,1,0.85,11.2,-14.685,-34.0019,206.0,floresta,0
7,33.8,37.9,12.0,1.7,8,0.55,20.1,-19.2492,-67.4161,57.0,agricultura,1
7,37.7,31.5,7.5,2.1,8,0.469,20.8,-13.3755,-55.8333,381.0,cerrado,1
10,24.4,69.0,6.5,0.6,4,0.464,10.2,-18.1284,-63.4436,454.0,pastagem,0
12,24.0,58.0,14.0,0.8,1,0.48,11.5,-21.2734,-63.1863,572.0,pastagem,0
8,32.2,24.0,12.3,1.9,13,0.489,22.9,3.9198,-41.5142,377.0,agricultura,1
5,36.3,60.2,22.0,1.4,11,0.762,24.2,2.53,-51.0783,88.0,floresta,1
5,27.7,37.8,6.6,2.2,15,0.852,19.1,-9.2253,-69.8521,282.0,floresta,0
6,26.3,37.0,6.1,0.7,16,0.794,19.2,-32.2593,-36.8255,859.0,floresta,0
10,31.3,55.1,16.2,4.2,2,0.35,15.5,-18.8887,-68.242,100.0,urbano,1
4,25.6,74.2,18.7,3.3,6,0.498,14.5,-25.4404,-45.5642,368.0,cerrado,0
3,26.4,53.7,44.2,8.3,2,0.483,21.0,-10.836,-46.869,258.0,pastagem,1
5,25.6,19.5,2.0,0.6,9,0.476,15.4,-17.8197,-40.9473,304.0,cerrado,1
1,25.3,51.9,26.3,4.4,6,0.504,18.0,-17.1702,-48.4841,780.0,pastagem,1
2,28.0,75.9,11.3,7.5,3,0.461,10.9,2.073,-58.7553,1401.0,cerrado,0
2,31.7,70.0,6.9,4.2,8,0.803,14.9,1.3519,-65.893,225.0,floresta,0
10,24.9,56.9,14.1,5.7,5,0.644,13.1,-22.6906,-52.4111,120.0,cerrado,0
9,39.6,54.5,13.8,3.1,14,0.784,24.8,-9.3102,-72.6848,172.0,floresta,1
9,30.3,47.0,7.1,1.2,16,0.471,20.4,-0.0919,-53.0603,163.0,cerrado,1
6,30.3,34.8,2.2,6.6,13,0.626,17.3,3.4779,-67.0861,391.0,cerrado,0
9,39.1,36.0,26.4,1.9,19,0.529,32.4,-4.7288,-48.2023,771.0,agricultura,1
2,28.8,64.0,5.6,5.1,6,0.773,12.4,-29.2274,-57.5262,285.0,floresta,0
11,25.8,50.0,4.9,1.4,6,0.703,12.6,-7.1566,-43.6321,194.0,floresta,0
7,32.4,38.1,6.1,2.1,22,0.421,24.6,-14.327,-50.3909,786.0,cerrado,1
12,33.4,63.7,18.0,1.7,2,0.68,16.9,-22.0232,-54.0483,116.0,agricultura,0
2,33.9,39.8,7.8,4.2,4,0.504,16.2,0.8791,-47.6886,399.0,cerrado,1
6,29.7,35.7,6.2,1.6,12,0.421,18.7,-8.7341,-65.1285,572.0,agricultura,1
9,32.8,34.4,13.4,0.5,13,0.575,23.0,1.6953,-37.073,147.0,cerrado,1
6,33.4,50.3,12.1,0.3,12,0.469,21.3,-30.4461,-71.17,401.0,cerrado,1
6,29.1,15.9,6.3,1.1,13,0.59,20.4,-3.2069,-60.2572,781.0,cerrado,1
2,27.8,55.4,2.1,2.7,4,0.658,11.0,-10.7141,-71.7073,274.0,cerrado,0
5,33.0,32.2,17.7,0.9,13,0.465,24.5,-21.5462,-50.5583,583.0,cerrado,1
3,32.6,71.5,12.3,9.1,3,0.526,13.3,0.3141,-58.7725,82.0,cerrado,0
4,32.8,59.5,1.5,14.6,6,0.234,11.4,-2.7089,-71.7224,202.0,urbano,0
9,31.7,59.6,28.9,1.0,12,0.353,24.8,-11.4019,-47.3242,144.0,pastagem,1
8,32.1,45.9,1.4,2.7,10,0.427,16.4,3.9305,-35.6737,325.0,agricultura,1
8,35.7,33.1,5.3,0.8,14,0.491,22.4,-2.6707,-69.7217,189.0,agricultura,0
5,30.7,40.9,5.6,0.8,7,0.707,16.2,-15.2406,-65.1803,1090.0,cerrado,1
12,30.4,55.8,6.4,3.6,3,0.432,12.7,-30.9246,-63.0949,498.0,agricultura,0
2,27.6,70.3,6.2,12.8,1,0.527,7.6,-9.8672,-46.7978,138.0,cerrado,0
5,29.1,22.0,3.4,0.2,10,0.648,17.8,-16.5296,-58.5431,256.0,pastagem,1
2,24.2,50.1,11.4,0.4,2,0.564,12.0,-10.9873,-43.8129,262.0,agricultura,0
5,38.8,43.5,19.8,6.1,17,0.314,27.9,-31.206,-55.4841,790.0,pastagem,1
12,27.4,74.7,11.3,1.7,7,0.431,13.9,-1.7023,-73.0619,541.0,pastagem,0
5,39.6,11.6,12.8,1.3,8,0.827,24.8,-2.4042,-67.0434,383.0,floresta,1
11,25.9,76.5,7.9,3.1,7,0.316,11.8,-4.314,-61.1982,555.0,urbano,0
6,34.2,36.3,11.0,5.2,12,0.891,21.3,-3.3574,-48.6298,863.0,floresta,0
9,42.6,15.4,13.5,3.8,19,0.825,31.1,-26.1007,-46.7673,1568.0,floresta,1
6,28.8,8.0,16.7,0.3,8,0.837,21.6,-13.5484,-48.3972,1233.0,floresta,1
4,20.4,41.6,5.8,5.5,7,0.346,10.7,-4.2077,-71.5312,429.0,pastagem,0
10,33.1,59.8,5.2,7.1,1,0.495,11.6,-9.3182,-59.2355,300.0,cerrado,0
12,24.7,59.2,0.9,8.9,4,0.396,7.7,-13.3337,-48.5922,497.0,agricultura,0
4,27.9,67.6,34.6,0.2,0,0.532,18.4,-19.5079,-48.4183,693.0,pastagem,0
10,25.7,53.4,33.2,9.5,6,0.53,19.1,-7.8301,-50.8183,229.0,agricultura,0
4,29.1,46.7,9.6,0.8,3,0.789,14.3,-31.5085,-56.9571,451.0,floresta,0
9,29.2,33.0,10.0,2.1,10,0.673,18.7,-31.9291,-73.6406,510.0,cerrado,0
10,27.3,60.4,27.6,1.1,2,0.493,17.3,-16.4287,-51.6322,1111.0,pastagem,0
6,34.8,40.8,3.5,0.1,12,0.871,20.1,-12.1616,-63.5351,190.0,floresta,1
9,29.0,28.5,4.7,0.5,11,0.611,18.1,-20.6774,-59.9011,84.0,cerrado,1
4,25.2,70.8,28.7,4.7,5,0.568,16.8,-7.0764,-50.1031,78.0,agricultura,0
1,26.6,52.5,7.8,6.7,9,0.367,14.1,2.3099,-54.8602,794.0,pastagem,1
2,22.3,49.6,4.2,7.5,2,0.578,7.6,-28.1397,-56.7053,967.0,agricultura,0
6,31.3,31.5,14.0,3.2,12,0.488,21.7,-14.9738,-57.776,284.0,pastagem,1
11,28.5,72.9,5.8,1.8,4,0.747,11.4,2.8212,-43.4067,693.0,floresta,0
2,26.4,58.4,25.5,10.0,3,0.555,15.2,3.2908,-54.2067,887.0,agricultura,0
6,31.9,29.7,10.9,1.6,12,0.303,21.5,-14.3539,-49.2164,522.0,urbano,0
9,32.9,49.1,6.0,1.8,23,0.442,24.6,-3.7215,-70.244,1399.0,pastagem,1
3,25.4,85.7,6.3,29.3,5,0.72,4.2,-25.6979,-49.5913,352.0,floresta,0
9,35.8,40.5,13.6,2.6,17,0.494,25.6,-2.4166,-71.7173,671.0,cerrado,1
4,33.7,74.8,8.6,3.8,6,0.388,15.0,4.071,-43.1351,11.0,agricultura,0
10,26.1,72.4,7.7,3.2,4,0.767,10.6,-20.3898,-73.5799,1182.0,floresta,0
7,34.9,30.7,17.1,1.4,14,0.597,25.7,-24.0749,-44.2158,466.0,cerrado,1
7,32.0,38.3,27.8,0.2,7,0.689,23.8,-28.5239,-52.83,507.0,cerrado,0
3,29.5,44.6,15.5,7.0,2,0.436,14.6,-16.0032,-45.7161,685.0,agricultura,0
6,39.3,35.5,5.5,1.4,10,0.579,21.8,-20.5961,-64.2157,842.0,cerrado,1
11,30.0,52.5,3.9,6.0,2,0.452,11.1,-14.0428,-52.9765,389.0,pastagem,0
1,20.9,55.2,16.5,5.2,3,0.449,11.2,-13.3184,-40.2315,795.0,pastagem,0
10,29.8,51.0,15.5,8.8,5,0.378,15.5,-0.2061,-65.4949,332.0,agricultura,0
6,37.9,34.6,7.3,0.7,15,0.469,24.4,0.5382,-72.9668,998.0,cerrado,1
9,32.1,44.4,8.7,3.5,7,0.925,17.0,-16.3595,-43.8801,710.0,floresta,0
8,37.0,36.6,5.7,2.8,16,0.861,23.5,-4.1626,-45.856,167.0,floresta,1
6,30.2,15.6,4.0,5.9,16,0.803,20.8,-11.7815,-67.9939,160.0,floresta,1
4,22.1,51.0,6.1,4.8,7,0.817,11.0,-5.4044,-60.3221,833.0,floresta,0
8,33.6,19.8,0.6,3.2,10,0.609,18.5,-6.382,-57.311,59.0,cerrado,1
2,21.0,62.9,22.3,21.3,3,0.744,9.2,-1.5425,-72.4427,334.0,floresta,0
8,32.0,44.0,2.9,0.7,13,0.467,18.8,-26.7926,-58.7579,746.0,agricultura,1
2,33.1,63.1,9.8,12.9,4,0.731,13.1,-2.7564,-70.2429,250.0,floresta,0
8,25.4,28.6,1.1,2.5,9,0.214,14.0,-24.455,-34.2644,465.0,urbano,0
8,27.9,41.0,15.1,0.4,15,0.688,21.9,-6.8664,-34.7328,240.0,floresta,1
2,23.9,54.4,18.4,4.2,4,0.497,13.9,3.4688,-51.3373,155.0,cerrado,0
10,27.7,46.3,10.5,33.0,4,0.54,8.0,-10.7808,-54.8255,947.0,agricultura,0
5,31.5,46.9,9.3,3.7,16,0.472,21.2,0.6513,-35.3593,189.0,agricultura,1
10,33.6,69.8,5.7,7.7,5,0.64,13.2,-2.1907,-47.3023,222.0,floresta,0
1,31.8,71.4,22.0,2.3,1,0.47,16.2,-6.3546,-68.7069,317.0,agricultura,0
3,30.0,52.7,2.3,0.1,2,0.544,11.7,-30.161,-65.5086,330.0,agricultura,0
6,33.6,52.2,6.9,0.3,12,0.559,19.7,-32.0832,-47.7811,360.0,cerrado,1
3,29.6,54.1,5.2,5.0,7,0.315,13.8,1.447,-36.0885,912.0,pastagem,0
4,24.6,67.8,5.0,5.0,5,0.633,9.6,-6.5034,-60.7041,486.0,cerrado,0
8,36.4,31.9,21.6,4.6,8,0.53,24.0,-12.1975,-69.3203,270.0,cerrado,1
2,23.6,57.3,8.9,1.6,5,0.807,11.7,-32.8945,-43.6384,356.0,floresta,0
9,36.3,8.9,5.7,0.4,12,0.864,23.6,-28.2796,-65.7806,607.0,floresta,1
2,32.7,56.4,12.6,8.5,3,0.44,14.6,-6.7874,-70.147,38.0,pastagem,0
3,28.8,61.1,11.8,3.2,4,0.627,13.8,-24.083,-46.4071,323.0,floresta,0
8,32.3,33.1,18.2,1.0,12,0.92,23.7,-19.4527,-52.1501,1049.0,floresta,1
10,29.6,81.1,13.6,14.0,3,0.603,10.7,-1.487,-56.4221,400.0,floresta,0
3,16.6,46.1,9.2,1.3,1,0.423,7.5,-20.6683,-71.8651,440.0,pastagem,0
4,29.2,53.2,9.7,12.3,3,0.554,11.6,-13.3303,-73.4778,351.0,pastagem,1
12,27.5,49.1,13.1,7.6,5,0.444,14.1,-30.3177,-57.3353,921.0,agricultura,0
12,27.8,53.2,4.5,2.9,5,0.149,12.3,-14.158,-49.8967,1134.0,urbano,0
7,35.8,50.4,11.6,1.4,15,0.183,23.5,-5.7714,-38.9286,17.0,urbano,1
6,32.7,55.7,27.4,0.6,21,0.766,29.7,-24.2996,-50.1309,1327.0,floresta,0
5,28.4,29.6,10.5,1.2,12,0.481,19.9,-10.9726,-54.5032,121.0,cerrado,0
8,32.4,29.3,7.5,6.1,19,0.399,23.3,-10.6647,-66.9648,757.0,pastagem,1
8,33.3,24.1,7.4,0.6,12,0.866,21.6,-2.0068,-67.7028,765.0,floresta,0
4,28.5,75.7,12.8,0.3,4,0.738,13.5,-19.2759,-49.547,149.0,floresta,0
1,28.6,73.5,11.2,5.0,4,0.54,12.4,0.991,-59.8059,331.0,agricultura,0
2,32.2,58.7,15.6,17.5,8,0.477,15.8,-15.1299,-67.768,487.0,cerrado,0
